ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
L10.2415,715 SAINT ANDREWS BLVD,The Village of Country Club Hills,Lake,Manufactured Home,209000,2,2,1446,,,28.95446632,-81.93936903,A,P,,248640,
S33.218,3057 HILLSIDE LN,The Village of Glenbrook,Sumter,Calhoun,349500,2,2,1248,2 Car Garage,,28.94607205,-82.00354493,A,P,,247745,
S127.153,499 CORBETT DR,The Village of Amelia,Sumter,Austin,295800,2,2,1142,"1 Car, plus Golf Car Garage",,28.88783764,-81.95895328,A,P,,247591,
S833.436,3266 DZURO DR,Oxford Oaks - Family Neighborhood,Sumter,Woodside-OO,479000,4,3,2323,,,28.92116518,-82.04923563,A,P,,247969,
