ULIKey,FirstSeen,Address,Village,Price,VLSNumber,DaysOnMarket,OwnerName
S601.24,2026-02-21,1627 CAMPOS DR,The Village Alhambra,274900,249190,170,
L7.1407,2026-02-21,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,115900,245658,170,
L9.2667,2026-02-21,1609 DORAL CIR,The Village of Country Club Hills,219900,249146,170,
L10.2266,2026-02-21,1701 PALM AIRE DR,The Village of Country Club Hills,237000,249243,170,
L11.2819,2026-02-21,1601 PINEHURST DR,The Village of Country Club Hills,249900,249239,170,
L13.3400,2026-02-21,1124 PARADISE DR,The Village of Country Club Hills,234900,248015,170,
S14.35,2026-02-21,617 SAN MARINO DR,The Village de La Vista,445000,248521,170,
S41.93,2026-02-21,3436 RICHMOND DR,The Village of Belle Aire,309500,248147,170,
L17.5432,2026-02-21,1117 SAN REMO LN,The Village Mira Mesa,299000,247843,170,
L1.48,2026-02-21,1027 ALOHA WAY,The Village of Orange Blossom Gardens,269900,248339,170,
S35.78,2026-02-21,3243 MANSFIELD ST,The Village of Polo Ridge,299711,249278,170,
S35.130,2026-02-21,3224 ROSWELL RD,The Village of Polo Ridge,329000,248718,170,
S3.33,2026-02-21,917 RAMOS DR,The Village Rio Grande,725000,249316,170,
S685.14,2026-02-21,1305 SANTA MARIA AVE,The Village Rio Grande,449500,249322,170,
S4.55,2026-02-21,228 JUAREZ WAY,The Village Rio Ponderosa,279900,248760,170,
S694.13,2026-02-21,880 TREVINO TER,The Village Rio Ranchero,335000,246304,170,
S606.66,2026-02-21,1221 SANTA CRUZ DR,The Village Santiago,295000,249157,170,
S605.79,2026-02-21,2801 SALAMANCA ST,The Village Santiago,269000,248286,170,
S25.67,2026-02-21,1728 ENRIQUE DR,The Village Santo Domingo,699000,248876,170,
M46.44,2026-02-21,17609 SE 90TH CLEMSON CIR,The Village of Springdale,399500,248942,170,
M227.33,2026-02-21,17145 SE 76TH BOXBURY CT,The Village of Calumet Grove,289900,247826,170,
S79.90,2026-02-21,546 FOXFIELD PATH,The Village of Belvedere,585000,248520,170,
S72.98,2026-02-21,1993 HARTFORD PATH,The Village of Bridgeport at Lake Miona,925000,247210,170,
S91.18,2026-02-21,1420 STRATON WAY,The Village of Sunset Pointe,555000,247584,170,
S106.76,2026-02-21,1433 FOREST ACRES DR,The Village of Virginia Trace,649000,248005,170,
S122.328,2026-02-21,707 CORDOVA CIR,The Village of Largo,382500,249107,170,
