ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
M217.62,17435 SE 82ND ROSLYN CT,The Village of Piedmont,Marion,Colony,279000,2,2,1163,"1 Car, plus Golf Car Garage",,28.96839744,-82.01617978,A,P,,250200,
S102.2,1694 BLACK LAKE DR,The Village of Bridgeport at Lake Miona,Sumter,Chatham,2145000,3,2,3150,,Swimming Pool,28.90787979,-81.994134,A,P,tkW-OKri0aE,249895,
S96.16,1255 TRELLIS LN,The Village of Liberty Park,Sumter,Corpus Christi,399900,3,2,1240,"2 Car, plus Golf Car Garage",,28.88329848,-81.98246279,A,P,,249374,
