ULIKey,FirstSeen,Address,Village,Price,VLSNumber,DaysOnMarket,OwnerName
S601.24,2026-02-21,1627 CAMPOS DR,The Village Alhambra,274900,249190,165,
L7.1407,2026-02-21,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,115900,245658,165,
L9.2667,2026-02-21,1609 DORAL CIR,The Village of Country Club Hills,219900,249146,165,
L10.2266,2026-02-21,1701 PALM AIRE DR,The Village of Country Club Hills,237000,249243,165,
L11.2819,2026-02-21,1601 PINEHURST DR,The Village of Country Club Hills,249900,249239,165,
L13.3400,2026-02-21,1124 PARADISE DR,The Village of Country Club Hills,234900,248015,165,
S14.35,2026-02-21,617 SAN MARINO DR,The Village de La Vista,445000,248521,165,
S41.93,2026-02-21,3436 RICHMOND DR,The Village of Belle Aire,309500,248147,165,
L17.5432,2026-02-21,1117 SAN REMO LN,The Village Mira Mesa,299000,247843,165,
L1.48,2026-02-21,1027 ALOHA WAY,The Village of Orange Blossom Gardens,269900,248339,165,
S35.78,2026-02-21,3243 MANSFIELD ST,The Village of Polo Ridge,299711,249278,165,
S35.130,2026-02-21,3224 ROSWELL RD,The Village of Polo Ridge,329000,248718,165,
S3.33,2026-02-21,917 RAMOS DR,The Village Rio Grande,725000,249316,165,
S685.14,2026-02-21,1305 SANTA MARIA AVE,The Village Rio Grande,449500,249322,165,
S4.55,2026-02-21,228 JUAREZ WAY,The Village Rio Ponderosa,279900,248760,165,
S606.66,2026-02-21,1221 SANTA CRUZ DR,The Village Santiago,295000,249157,165,
S605.79,2026-02-21,2801 SALAMANCA ST,The Village Santiago,269000,248286,165,
S25.67,2026-02-21,1728 ENRIQUE DR,The Village Santo Domingo,699000,248876,165,
M46.44,2026-02-21,17609 SE 90TH CLEMSON CIR,The Village of Springdale,399500,248942,165,
M214.98,2026-02-21,17831 SE 91ST GAYLARK AVE,The Village of Springdale,309000,248815,165,
M50.38,2026-02-21,9345 SE 171ST LE FLORE LN,The Village of Woodbury,335000,248059,165,
M227.33,2026-02-21,17145 SE 76TH BOXBURY CT,The Village of Calumet Grove,289900,247826,165,
S79.90,2026-02-21,546 FOXFIELD PATH,The Village of Belvedere,585000,248520,165,
S72.98,2026-02-21,1993 HARTFORD PATH,The Village of Bridgeport at Lake Miona,925000,247210,165,
S91.18,2026-02-21,1420 STRATON WAY,The Village of Sunset Pointe,555000,247584,165,
S106.76,2026-02-21,1433 FOREST ACRES DR,The Village of Virginia Trace,649000,248005,165,
S122.328,2026-02-21,707 CORDOVA CIR,The Village of Largo,382500,249107,165,
S146.347,2026-02-21,2600 ENGLISH IVY CIR,The Village of Duval,349985,249309,165,
S136.159,2026-02-21,770 GOLIATH PL,The Village of Bonita,389000,248356,165,
S170.68,2026-02-21,2596 BUTTONWOOD RUN,The Village of Buttonwood,324900,248453,165,
S170.270,2026-02-21,1963 HARDING PATH,The Village of Buttonwood,394500,247281,165,
S175.135,2026-02-21,664 ALWICK WAY,The Village of Sanibel,525000,248874,165,
S952.46,2026-02-21,1433 DYNASTY PL,The Village of Fernandina,278500,247586,165,
S952.66,2026-02-21,1479 OLYMPIA ST,The Village of Fernandina,319900,249245,165,
S971.128,2026-02-21,646 AVECILLA DR,Haciendas of Mission Hills,847800,248824,165,
S969.117,2026-02-21,2853 PETOSKEY PL,The Village of Collier at Alden Bungalows,545000,248955,165,
S969.160,2026-02-21,3444 LEELANAU CT,The Village of Collier at Alden Bungalows,549900,249283,165,
S186.59,2026-02-21,483 PINFISH CT,The Village of Labelle,769000,247658,165,
S833.130,2026-02-21,3290 SENNETT CIR,Oxford Oaks - Family Neighborhood,440400,249164,165,
S833.338,2026-02-21,11297 BERNING TER,Oxford Oaks - Family Neighborhood,644900,246876,165,
S833.439,2026-02-21,3260 DZURO DR,Oxford Oaks - Family Neighborhood,1095000,247061,165,
L31.118,2026-02-21,3457 BORROWMAN AVE,The Village of Pine Hills,1895000,249154,165,
S624.56,2026-02-21,5866 MARSH CT,The Village of Fenney,305000,248845,165,
S623.17,2026-02-21,5843 HOWELL TER,The Village of Fenney,235000,248970,165,
S619.37,2026-02-21,2441 NELLIE RD,The Village of DeSoto,359900,248432,165,
S722.19,2026-02-21,5740 SANBORN ST,The Village of McClure,699000,248426,165,
S22V.41,2026-02-21,5422 ALFREDSON TER,The Village of Marsh Bend,599000,248978,165,
S34V.4,2026-02-21,1866 BEGAN PL,The Village of Linden,509900,247872,165,
S38V.55,2026-02-21,1572 WILLIAMSON DR,The Village of Monarch Grove,749711,248346,165,
S125V.108,2026-02-21,4681 WIGHTMAN CIR,The Village of DeLuna,549900,248022,165,
S133V.13,2026-02-21,4200 COLLERETTE CT,The Village of DeLuna,840000,248761,165,
S60V.73,2026-02-21,1160 CHARLENE PL,The Village of Bradford,439000,249247,165,
S71V.14,2026-02-21,6144 GRASSO CIR,The Village of Citrus Grove,1375316,248492,165,
S140V.76,2026-02-21,3759 COYNE LOOP,The Village of Hammock at Fenney,1087000,249209,165,
S78V.11,2026-02-21,5991 HOLTON AVE,The Village of Cason Hammock,510000,249220,165,
S48V.124,2026-02-21,5824 SCHAEFFER TER,The Village of St. Catherine,525000,249142,165,
S112V.14,2026-02-21,2816 NAVY HILL CIR,The Village of Richmond,419900,249253,165,
S113V.11,2026-02-21,3116 MONUMENT WAY,The Village of Richmond,479900,248430,165,
S113V.27,2026-02-21,3135 FOUSHEE LOOP,The Village of Richmond,562900,249141,165,
L49V.106,2026-02-21,2073 POSPISIL AVE,The Village of Newell,549000,249050,165,
L51V.89,2026-02-21,6714 NEWELL LOOP,The Village of Newell,460000,249041,165,
L60V.104,2026-02-21,6995 DWIGHT DR,The Village of Lake Denham,725000,248206,165,
L63V.17,2026-02-21,1431 GUILLERMINA LOOP,The Village of Lake Denham,520800,247759,165,
L63V.36,2026-02-21,1443 JEREMY CIR,The Village of Lake Denham,359000,247350,165,
L67V.43,2026-02-21,1195 LACHAPELLE LN,The Village of Lake Denham,279555,249259,165,
L81V.10,2026-02-21,703 LAKE CREEK CIR,The Village of Dabney,589900,249292,165,
L84V.51,2026-02-21,591 FLEMINGTON PATH,The Village of Dabney,1999800,248816,165,
L84V.71,2026-02-21,390 BEDMINSTER WAY,The Village of Dabney,1289000,249185,165,
L79V.8,2026-02-21,7535 ALYSHA AVE,The Village of Dabney,400000,248891,165,
S215V.47,2026-02-21,1708 MCMURTRIE LOOP,The Village of Moultrie Creek,507000,249217,165,
S214V.8,2026-02-21,7474 BOYSO TER,The Village of Moultrie Creek,335000,249282,165,
S219V.132,2026-02-21,7649 KELLEY MARGARET PL,The Village of Shady Brook,510000,249361,165,
S220V.48,2026-02-21,1553 FERRY PL,The Village of Shady Brook,330000,249318,165,
S218V.19,2026-02-21,1444 MESSER AVE,The Village of Shady Brook,549900,248638,165,
S146V.100,2026-02-21,1872 LYNN KEANE LOOP,The Village of Well Point,574900,248893,165,
S32.40,2026-02-23,2809 LARRANAGA DR,The Village of Harmeswood,1999900,249048,163,
S100.83,2026-02-24,1767 HAGOOD LOOP,The Village of Poinciana,399000,249402,162,
S71V.116,2026-02-24,6390 DANIELSON LOOP,The Village of Citrus Grove,525000,249337,162,
L41V.69,2026-02-25,6358 BRIDGET AVE,The Village of Newell,584800,249407,161,
L22.6066,2026-02-26,918 VENTURA DR,The Village La Reynalda,369500,249396,160,
S218V.22,2026-02-26,1456 MESSER AVE,The Village of Shady Brook,559000,249351,160,
S42V.30,2026-02-27,5848 FLINT LOOP,The Village of Monarch Grove,995000,249436,159,
S126V.42,2026-02-27,4673 MONICA ST,The Village of DeLuna,419900,249410,159,
S75V.15,2026-02-27,837 HUBBARD LOOP,The Village of Cason Hammock,1729000,249440,159,
S106V.5,2026-02-27,4332 CAMEO CIR,The Village of Richmond,429900,249405,159,
L65V.31,2026-02-27,6959 SUGAR CREEK PATH,The Village of Lake Denham,989000,249408,159,
S963.50,2026-02-28,2156 ANTILLES CT,The Village of Collier,489000,249465,158,
L30.60,2026-03-02,3291 IIAMS CT,The Village of Pine Hills,539900,249456,156,
S127.8,2026-03-03,1693 BANBERRY RUN,The Village of Amelia,349000,249311,155,
S215V.100,2026-03-04,7546 BECKY CT,The Village of Moultrie Creek,424900,249425,154,
S184V.36,2026-03-04,1937 PANLILIO LOOP,The Village of Well Point,498500,249369,154,
S628.21,2026-03-05,5766 MARROT TER,The Village of Hammock at Fenney,545900,249417,153,
M53.80,2026-03-06,17640 SE 86TH BRIARCLIFFE CT,The Village of Springdale,749000,249505,152,
S128V.33,2026-03-06,4463 NOAH PL,The Village of DeLuna,419900,249506,152,
L78V.71,2026-03-07,650 CHERRY CREEK WAY,The Village of Dabney,1174800,249535,151,
S212V.58,2026-03-07,1870 TIMON ST,The Village of Moultrie Creek,284000,249488,151,
