ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S945.36,3362 SEBASTION AVE,The Village of Charlotte,Sumter,Anaheim,380000,3,2,1357,"1 Car, plus Golf Car Garage",,28.85191451,-81.96347985,A,P,,248091,
S833.143,11201 MIDORA TER,Oxford Oaks - Family Neighborhood,Sumter,Manatee,759000,4,3,3002,3 Car Garage,Swimming Pool,28.91948716,-82.04624036,A,P,,248672,
