ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S100.51,1826 KYRLE TER,The Village of Poinciana,Sumter,Gardenia,824000,3,2,2094,2 Car Garage,Swimming Pool,28.88891014,-81.99615758,A,P,usBFr4br2_o,245262
S107.123,1087 NICHOLS TER,The Village of Virginia Trace,Sumter,Carlton,449000,3,2,1902,2 Car Garage,,28.89807116,-81.97738653,A,P,,245859
S109.107,1357 DUNCAN DR,The Village of Virginia Trace,Sumter,Lantana,799000,3,2,2480,2 Car Garage,,28.8993079,-81.97068239,A,P,m4ryDJbiUsc,244300
S117.86,437 HENGAN PL,The Village of Mallory Square,Sumter,Bridgeport,649500,3,2.5,2075,"2 Car, plus Golf Car Garage",,28.89338446,-81.9590414,A,P,LM2YdD2RPAs,245214
S971.31,644 CABRERA CT,Haciendas of Mission Hills,Sumter,Wyndham,699000,3,2,1715,2 Car Garage,,28.91805636,-81.96525246,A,P,fn7eCpewPMw,246579
L25.86,3111 IVES LN,The Village of Pine Ridge,Lake,Gardenia,529000,3,2,1964,2 Car Garage,,28.85774032,-81.94489167,A,P,,246734
S42V.22,5878 FLINT LOOP,The Village of Monarch Grove,Sumter,Bridgeport-5/Osprey,1325000,3,2.5+,2361,"2 Car, plus Golf Car Garage",,28.79112317,-81.99777227,A,P,RzZ2nYyqRDM,245529
S68V.5,343 LOGAN ST,The Village of Citrus Grove,Sumter,Jade,324000,2,2,1184,,,28.78239937,-81.95649813,A,P,,244852
S88V.4,1310 SUMMERLIN ST,The Village of Hawkins,Sumter,Jasmine,445000,3,2,1569,2 Car Garage,,28.79142674,-81.98361416,A,P,,244812
L78V.29,693 CHERRY CREEK WAY,The Village of Dabney,Lake,Bougainvillea,439900,3,2,1392,2 Car Garage,,28.74969428,-81.91451768,A,P,fx53iMrPEJs,245925
