ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S41.104,3366 RESTON DR,The Village of Belle Aire,Sumter,Stetson III,399000,3,2,1392,2 Car Garage,Swimming Pool,28.95633513,-82.01112102,A,P,UdPnDpwetPk,248523,
S676.72,1089 SUMMERTON ST,The Village of Sabal Chase,Sumter,Beauregard,409900,2,2.5,1660,"1 Car, plus Golf Car Garage",,28.89276171,-81.97740748,A,P,,248918,
S160.110,2287 NEWBURN LN,The Village of Tamarind Grove,Sumter,Iris,469900,3,2,1965,"2 Car, plus Golf Car Garage",,28.87778041,-82.01107129,A,P,W5GhmHUVzRI,248531,
S833.276,11360 ZIMMERMAN PATH,Oxford Oaks - Family Neighborhood,Sumter,Ivy-OO,619900,4,2,2587,2 Car Garage,,28.92121638,-82.04086321,A,P,,249555,
S1M.247,7588 BOGART PL,Middleton - Family Neighborhood,Sumter,Offsides,459000,3,2,1974,2 Car Garage,,28.74880036,-82.02045281,A,P,,249299,
S219V.175,1464 COWART CIR,The Village of Shady Brook,Sumter,Eagle,475000,3,2,1689,"2 Car, plus Golf Car Garage",,28.74668999,-81.98759695,A,P,,248530,
