ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S43.19,660 ELLSWORTH WAY,The Village of Polo Ridge,Sumter,Custom,325000,2,2,1388,"1 Car, plus Golf Car Garage",,28.92956657,-82.01198048,A,P,,246728,
S671.20,974 SMYRNA ST,The Village of Sabal Chase,Sumter,Bonita,379900,3,2,1397,"1 Car, plus Golf Car Garage",,28.89221949,-81.97450358,A,P,,249628,
S21V.9,2385 JANESY CT,The Village of Marsh Bend,Sumter,Ivy-10,1795000,4,2,2596,"2 Car, plus Golf Car Garage",Swimming Pool,28.80485779,-82.01391659,A,P,,248416,
S133V.100,3308 WIELENGA PL,The Village of DeLuna,Sumter,Ivy,1279000,4,2,2588,"2 Car, plus Golf Car Garage",Swimming Pool,28.830964,-82.03887903,A,P,dFOthfEWHmU,248630,
L53V.18,6767 MARY LOOP,The Village of Newell,Lake,Sandpiper-V,365000,3,2,1361,"1 Car, plus Golf Car Garage",,28.77038812,-81.95129586,A,P,,247657,
