ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S87.50,2448 SALUDA ST,The Village of Lynnhaven,Sumter,Abilene,349900,2,2,1248,2 Car Garage,,28.91243254,-82.01494507,A,P,,248516,
S941.59,1109 TIPTON LN,The Village of Fernandina,Sumter,Durham,344900,2,2,1161,"1 Car, plus Golf Car Garage",,28.85242731,-81.97825807,A,P,,248288,
L31.118,3457 BORROWMAN AVE,The Village of Pine Hills,Lake,Augusta,1895000,3,2,2587,"2 Car, plus Golf Car Garage",Swimming Pool,28.84915131,-81.93613115,A,P,a4Iv7RKgDUo,249154,
