ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
M213.61,17449 SE 93RD VINE AVE,The Village of Springdale,Marion,Colony,269000,3,2,1429,"1 Car, plus Golf Car Garage",,28.96804815,-81.99864723,A,P,,247248,
L61V.20,1632 TIA TER,The Village of Lake Denham,Lake,Charlotte,425000,3,2,1499,2 Car Garage,,28.76015131,-81.9411486,A,P,,248315,
S1M.102,7533 CHASTAIN CIR,Middleton - Family Neighborhood,Sumter,Simon Says,435000,4,3,2228,,,28.75087046,-82.01804477,A,P,,248241,
