ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S817.27,2084 PINK BLOSSOM CT,The Village of St. Charles,Sumter,Beauregard,379900,2,2,1196,"1 Car, plus Golf Car Garage",,28.88287948,-81.99812625,A,P,,250256,
L44V.34,1687 COLLEEN CT,The Village of Newell,Lake,Whip-Poor-Will,499555,3,2,1477,"2 Car, plus Golf Car Garage",,28.77179614,-81.9423944,A,P,,250183,
