ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S105.76,781 EVANS WAY,The Village of Bridgeport at Lake Sumter,Sumter,Sanibel,1175000,3,2.0,2992,"2 Car, plus Golf Car Garage",Swimming Pool,28.91436348,-81.97963794,A,P,oebKd-X9tbo,250521,
S207V.70,1608 WOELKERS CIR,The Village of Moultrie Creek,Sumter,Sunflower,414990,3,2.0,1966,"2 Car, plus Golf Car Garage",,28.74521222,-81.99591931,A,P,xDgGYqi5C7Q,249984,
S241V.28,1573 SMART PL,The Village of Waters Edge,Sumter,Garnet,359900,2,2.0,1257,"1 Car, plus Golf Car Garage",,28.75679093,-81.99045204,A,P,,250842,
