ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S69.185,881 HENDERSON LN,The Village of Summerhill,Sumter,Corpus Christi,279000,3,2,1326,"1 Car, plus Golf Car Garage",,28.93549302,-82.01418611,A,P,,247297,
S203.31,3787 FIR ST,The Village of Dunedin,Sumter,Anchor,377500,3,2,1570,2 Car Garage,,28.84216649,-81.98595032,A,P,,249226,
L50V.39,6523 FAHS LOOP,The Village of Newell,Lake,Avondale,474000,3,2,1711,"2 Car, plus Golf Car Garage",,28.77486585,-81.95119933,A,P,,247514,
S4M.35,7325 CATINAZZO CT,Middleton - Family Neighborhood,Sumter,Follow the Leader,278900,2,2,975,,,28.75534985,-82.01750935,A,P,,248719,
