ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
L37.45,3291 DELK DR,The Village of Pine Ridge,Lake,Bayberry,525000,3,3,1864,"2 Car, plus Golf Car Garage",,28.85574397,-81.94783296,A,P,31dOTb-ay0E,249029,
S48V.27,1110 EBLING LOOP,The Village of St. Catherine,Sumter,Zinnia,549000,3,3,1977,2 Car Garage,,28.79133558,-81.97431085,A,P,,249431,
