ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S114V.15,3943 MUNFORD TER,The Village of Richmond,Sumter,Moonstone,328700,2,2.0,1295,"1 Car, plus Golf Car Garage",,28.83751928,-82.02492924,A,P,,250211,
S206V.18,1794 CRANE DORAN PL,The Village of Moultrie Creek,Sumter,Jackson,965000,3,2.0,2335,"2 Car, plus Golf Car Garage",,28.74318048,-81.99651222,A,P,,251184,
L63V.17,1431 GUILLERMINA LOOP,The Village of Lake Denham,Lake,Kestrel,498000,4,2.0,1971,"2 Car, plus Golf Car Garage",,28.75955549,-81.93493669,A,P,,249403,
