ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S70.409,1915 WALDEN WAY,The Village of Winifred,Sumter,Wisteria,379621,3,2,1566,2 Car Garage,,28.92198812,-82.00043415,A,P,3rMtuPW2h74,248885,
S182.98,3493 RABBIT RUN PATH,The Village of Charlotte,Sumter,Begonia,559000,3,2,2008,"2 Car, plus Golf Car Garage",,28.84848603,-81.96667287,A,P,BtBgs_TSWf0,249514,
S833.189,3275 SENNETT CIR,Oxford Oaks - Family Neighborhood,Sumter,Gardenia-OO,429000,3,2,2095,,,28.91724508,-82.04806791,A,P,,248772,
