ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S30.202,2712 CASTILLO DR,The Village Santiago,Sumter,Cancun,375000,3,2,1662,2 Car Garage,,28.95061963,-81.99564298,A,P,r1N7LM9W-j0,245198,
M62.193,17325 SE 73RD PARK GLEN CT,The Village of Chatham,Marion,Magnolia,437000,3,2,1986,,,28.96943562,-82.0314097,A,P,,246644,
S74.59,2184 WILLOW GROVE WAY,The Village of Bonnybrook,Sumter,Gardenia,1049000,3,2,1973,"2 Car, plus Golf Car Garage",Swimming Pool,28.92011036,-82.00774366,A,P,ka7Oqyeu1B8,247295,
S712.29,2371 OTHELLO CT,The Village of Bonita,Sumter,Foxglove,368000,3,2,1407,"1 Car, plus Golf Car Garage",,28.87601108,-81.96783563,A,P,EsBRs9Srl9I,247631,
S176.171,2912 ASHER PATH,The Village of Sanibel,Sumter,Holly,519000,3,2,2064,2 Car Garage,,28.86289133,-81.97033359,A,P,sFoijtGlf70,246821,
S833.166,3335 ROHAN RD,Oxford Oaks - Family Neighborhood,Sumter,Palm Beach-OO,369000,3,2,1978,2 Car Garage,,28.9187224,-82.04628238,A,P,QozZahxhOYk,247613,
S6F.76,5872 HERNDON TER,The Village of DeSoto,Sumter,Lantana,629900,3,2,2004,3 Car Garage,,28.79076299,-82.01566954,A,P,,247161,
S30A.21,4860 CORDER RUN,The Village of DeLuna,Sumter,Custom Premier,1125000,3,2,2016,,,28.81529513,-82.0195308,A,P,bzrjhfe03WE,248634,
S132V.30,4157 TIEDEMANN LOOP,The Village of DeLuna,Sumter,Eaton,389000,3,2,1579,2 Car Garage,,28.83204785,-82.03962994,A,P,,247878,
S139V.22,5921 PRESENTI CT,The Village of Hammock at Fenney,Sumter,Anchor,440000,3,2,1527,2 Car Garage,,28.78912879,-82.05228136,A,P,,247814,
S629.69,5548 MILLICAN AVE,The Village of Hammock at Fenney,Sumter,Arlington,424908,3,2,1633,2 Car Garage,,28.79849404,-82.04544075,A,P,,247388,
