ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S744.49,974 JAY ST,The Village of Chitty Chatty,Sumter,Montclair,439000,3,2.0,1647,2 Car Garage,,28.8221519,-81.97458247,A,P,YFwNsXo6hgI,250754,
L7.1412,1732 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,El Paso,279000,2,2.0,1105,,,28.95761121,-81.95058017,A,P,,249885,
S94V.32,1597 WAYCROSS PL,The Village of Hawkins,Sumter,Wisteria,415000,3,2.0,1564,2 Car Garage,,28.79733016,-81.99178001,A,P,,249915,
S97.57,1442 GREENVILLE WAY,The Village of Liberty Park,Sumter,Whispering Pine,364900,3,2.0,1496,2 Car Garage,,28.88183032,-81.98725899,A,P,,249111,
S106V.16,4438 CAMEO CIR,The Village of Richmond,Sumter,At Ease-V,379000,3,2.0,1472,2 Car Garage,,28.82641499,-82.02451953,A,P,,249272,
S144V.84,6182 HANNAN LOOP,The Village of Well Point,Sumter,Kingfisher-C,489500,3,2.0,1927,"2 Car, plus Golf Car Garage",,28.78447925,-82.00066986,A,P,,250048,
