ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S72.98,1993 HARTFORD PATH,The Village of Bridgeport at Lake Miona,Sumter,Natchez,874900,3,2.0,2616,"2 Car, plus Golf Car Garage",Swimming Pool,28.90991623,-82.0020456,A,P,5nhvKYqBzg4,247210,
L8.1668,714 ORCHID ST,The Village of Country Club Hills,Lake,Manufactured Home,239000,2,2.0,1352,,,28.95821793,-81.93856503,A,P,,250342,
S622.3,6036 ALTMAN AVE,The Village of DeSoto,Sumter,Opal,304900,2,2.0,1337,"1 Car, plus Golf Car Garage",,28.78681473,-82.01500306,A,P,,250013,
S218V.19,1444 MESSER AVE,The Village of Shady Brook,Sumter,Charlotte,524900,3,2.0,1497,2 Car Garage,,28.74368632,-81.98696858,A,P,,248638,
