ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S810.47,2505 CEDAR KEY LN,The Village of Buttonwood,Sumter,Colony,299000,2,2,1156,"1 Car, plus Golf Car Garage",,28.88955508,-82.01652531,A,P,,248862,
S227V.44,1635 KAREN PERKINS ST,The Village of Shady Brook,Sumter,Oriole,525000,3,3,1875,"2 Car, plus Golf Car Garage",,28.74821355,-81.99223399,A,P,,248797,
