ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S122.75,702 CORDOVA CIR,The Village of Largo,Sumter,Whispering Pine,359000,3,2,1488,2 Car Garage,,28.88127641,-81.96830982,A,P,,248194,
S971.113,562 AVECILLA DR,Haciendas of Mission Hills,Sumter,Wyndham,799000,3,2,1919,2 Car Garage,,28.91704528,-81.96260475,A,P,9y8Mlqx4L2Q,249229,
