ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
L8.1967,1835 HOLLY LN,The Village of Country Club Hills,Lake,Manufactured Home,199900,2,2,768,,,28.95964633,-81.93676245,A,P,,247829,
M48.53,9430 SE 176TH SAFFOLD ST,The Village of Springdale,Marion,Custom Designer,365900,3,2,1657,"2 Car, plus Golf Car Garage",,28.96686936,-81.99694099,A,P,,248438,
S20V.12,2297 DEMARCO DR,The Village of Marsh Bend,Sumter,Modified Ivy,1495000,4,3,3653,"2 Car, plus Golf Car Garage",,28.80528931,-82.01043939,A,P,e6NO6wwc9Z4,247493,
S36V.29,1698 GERMAKIAN LN,The Village of Monarch Grove,Sumter,Seabreeze,429000,3,2,1496,"2 Car, plus Golf Car Garage",,28.79192687,-81.99402519,A,P,2eDL85MIFUg,247519,
