ULIKey,FirstSeen,Address,Village,Price,VLSNumber,DaysOnMarket,OwnerName
S601.24,2026-02-21,1627 CAMPOS DR,The Village Alhambra,274900,249190,157,
L7.1407,2026-02-21,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,115900,245658,157,
L9.2667,2026-02-21,1609 DORAL CIR,The Village of Country Club Hills,219900,249146,157,
L10.2266,2026-02-21,1701 PALM AIRE DR,The Village of Country Club Hills,237000,249243,157,
L11.2819,2026-02-21,1601 PINEHURST DR,The Village of Country Club Hills,249900,249239,157,
L13.3400,2026-02-21,1124 PARADISE DR,The Village of Country Club Hills,234900,248015,157,
S14.35,2026-02-21,617 SAN MARINO DR,The Village de La Vista,445000,248521,157,
S41.93,2026-02-21,3436 RICHMOND DR,The Village of Belle Aire,309500,248147,157,
L17.5432,2026-02-21,1117 SAN REMO LN,The Village Mira Mesa,299000,247843,157,
L1.48,2026-02-21,1027 ALOHA WAY,The Village of Orange Blossom Gardens,269900,248339,157,
S35.78,2026-02-21,3243 MANSFIELD ST,The Village of Polo Ridge,299711,249278,157,
S35.130,2026-02-21,3224 ROSWELL RD,The Village of Polo Ridge,329000,248718,157,
S3.33,2026-02-21,917 RAMOS DR,The Village Rio Grande,725000,249316,157,
S685.14,2026-02-21,1305 SANTA MARIA AVE,The Village Rio Grande,449500,249322,157,
S4.55,2026-02-21,228 JUAREZ WAY,The Village Rio Ponderosa,279900,248760,157,
S606.66,2026-02-21,1221 SANTA CRUZ DR,The Village Santiago,295000,249157,157,
S605.79,2026-02-21,2801 SALAMANCA ST,The Village Santiago,269000,248286,157,
S25.67,2026-02-21,1728 ENRIQUE DR,The Village Santo Domingo,699000,248876,157,
M46.44,2026-02-21,17609 SE 90TH CLEMSON CIR,The Village of Springdale,399500,248942,157,
M214.98,2026-02-21,17831 SE 91ST GAYLARK AVE,The Village of Springdale,309000,248815,157,
M50.38,2026-02-21,9345 SE 171ST LE FLORE LN,The Village of Woodbury,335000,248059,157,
M227.33,2026-02-21,17145 SE 76TH BOXBURY CT,The Village of Calumet Grove,289900,247826,157,
S79.90,2026-02-21,546 FOXFIELD PATH,The Village of Belvedere,585000,248520,157,
S72.98,2026-02-21,1993 HARTFORD PATH,The Village of Bridgeport at Lake Miona,925000,247210,157,
S91.18,2026-02-21,1420 STRATON WAY,The Village of Sunset Pointe,555000,247584,157,
S97.57,2026-02-21,1442 GREENVILLE WAY,The Village of Liberty Park,380000,249111,157,
S661.28,2026-02-21,1399 GEORGIANA TER,The Village of Liberty Park,524900,248681,157,
S106.76,2026-02-21,1433 FOREST ACRES DR,The Village of Virginia Trace,649000,248005,157,
S122.328,2026-02-21,707 CORDOVA CIR,The Village of Largo,382500,249107,157,
S146.347,2026-02-21,2600 ENGLISH IVY CIR,The Village of Duval,349985,249309,157,
S136.159,2026-02-21,770 GOLIATH PL,The Village of Bonita,389000,248356,157,
S170.68,2026-02-21,2596 BUTTONWOOD RUN,The Village of Buttonwood,324900,248453,157,
S170.270,2026-02-21,1963 HARDING PATH,The Village of Buttonwood,394500,247281,157,
S175.135,2026-02-21,664 ALWICK WAY,The Village of Sanibel,525000,248874,157,
S952.46,2026-02-21,1433 DYNASTY PL,The Village of Fernandina,278500,247586,157,
S952.66,2026-02-21,1479 OLYMPIA ST,The Village of Fernandina,319900,249245,157,
S971.128,2026-02-21,646 AVECILLA DR,Haciendas of Mission Hills,847800,248824,157,
S969.117,2026-02-21,2853 PETOSKEY PL,The Village of Collier at Alden Bungalows,545000,248955,157,
S969.160,2026-02-21,3444 LEELANAU CT,The Village of Collier at Alden Bungalows,549900,249283,157,
S186.59,2026-02-21,483 PINFISH CT,The Village of Labelle,769000,247658,157,
S833.130,2026-02-21,3290 SENNETT CIR,Oxford Oaks - Family Neighborhood,440400,249164,157,
S833.338,2026-02-21,11297 BERNING TER,Oxford Oaks - Family Neighborhood,644900,246876,157,
S833.439,2026-02-21,3260 DZURO DR,Oxford Oaks - Family Neighborhood,1095000,247061,157,
L31.118,2026-02-21,3457 BORROWMAN AVE,The Village of Pine Hills,1895000,249154,157,
S624.56,2026-02-21,5866 MARSH CT,The Village of Fenney,305000,248845,157,
S623.17,2026-02-21,5843 HOWELL TER,The Village of Fenney,235000,248970,157,
S619.37,2026-02-21,2441 NELLIE RD,The Village of DeSoto,359900,248432,157,
S722.19,2026-02-21,5740 SANBORN ST,The Village of McClure,699000,248426,157,
S22V.41,2026-02-21,5422 ALFREDSON TER,The Village of Marsh Bend,599000,248978,157,
S34V.4,2026-02-21,1866 BEGAN PL,The Village of Linden,509900,247872,157,
S38V.55,2026-02-21,1572 WILLIAMSON DR,The Village of Monarch Grove,749711,248346,157,
