ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S833.404,3526 THORNE PATH,Oxford Oaks - Family Neighborhood,Sumter,Sunflower-OO,415000,3,2,2048,"2 Car, plus Golf Car Garage",,28.92310293,-82.04490366,A,P,,248417,
S722.19,5740 SANBORN ST,The Village of McClure,Sumter,Winslow,699000,3,2,1806,"2 Car, plus Golf Car Garage",,28.79360603,-82.01173286,A,P,rpp9YoCeOBI,248426,
S88V.38,1443 FRAZIER WAY,The Village of Hawkins,Sumter,Iris-10,899000,3,2,2106,"2 Car, plus Golf Car Garage",,28.79448588,-81.98754929,A,P,pZY10itIWEI,248410,
L44V.124,6609 HOLOVAK TER,The Village of Newell,Lake,Kingfisher,485000,3,2,1944,"2 Car, plus Golf Car Garage",,28.77277276,-81.94625769,A,P,NPUdYBOOXiY,248412,
