ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S628.21,5766 MARROT TER,The Village of Hammock at Fenney,Sumter,Charlotte,545900,3,2.0,1492,2 Car Garage,,28.79342991,-82.05112531,A,P,,249417,
S186.59,483 PINFISH CT,The Village of Labelle,Sumter,Ivy,769000,4,2.0,2558,"2 Car, plus Golf Car Garage",,28.85077609,-81.96103084,A,P,9B_imhm2Loo,250376,
S651.53,2689 CRAVEN WAY,The Village of Lynnhaven,Sumter,Colony,289000,2,2.0,1156,"1 Car, plus Golf Car Garage",,28.91387823,-82.0216691,A,P,0S3VW6alrEo,250233,
L49V.84,2053 CHRISTIANS CT,The Village of Newell,Lake,Mockingbird,629000,3,2.0,1954,"2 Car, plus Golf Car Garage",,28.77596107,-81.9524797,A,P,,249869,
