ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S237.16,1483 WALNUT WAY,The Village of Dunedin,Sumter,Iris,499000,3,2.0,1990,"2 Car, plus Golf Car Garage",,28.84729727,-81.98863622,A,P,Ui9ssL85dq4,250339,
L56V.109,6879 TINA ST,The Village of Lake Denham,Lake,Hidden Cove,375000,3,2.0,1492,"2 Car, plus Golf Car Garage",,28.76576139,-81.9425485,A,P,,249522,
S215V.15,1781 MCMURTRIE LOOP,The Village of Moultrie Creek,Sumter,Kingfisher,519000,3,2.0,1927,"2 Car, plus Golf Car Garage",,28.75282356,-81.99478035,A,P,,250055,
