ULIKey,FirstSeen,Address,Village,Price,VLSNumber,DaysOnMarket,OwnerName
S601.24,2026-02-21,1627 CAMPOS DR,The Village Alhambra,274900,249190,150,
L7.1407,2026-02-21,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,115900,245658,150,
L9.2667,2026-02-21,1609 DORAL CIR,The Village of Country Club Hills,219900,249146,150,
L10.2266,2026-02-21,1701 PALM AIRE DR,The Village of Country Club Hills,237000,249243,150,
L11.2819,2026-02-21,1601 PINEHURST DR,The Village of Country Club Hills,249900,249239,150,
L13.3400,2026-02-21,1124 PARADISE DR,The Village of Country Club Hills,234900,248015,150,
S14.35,2026-02-21,617 SAN MARINO DR,The Village de La Vista,445000,248521,150,
S41.93,2026-02-21,3436 RICHMOND DR,The Village of Belle Aire,309500,248147,150,
L17.5432,2026-02-21,1117 SAN REMO LN,The Village Mira Mesa,299000,247843,150,
L1.48,2026-02-21,1027 ALOHA WAY,The Village of Orange Blossom Gardens,269900,248339,150,
S35.78,2026-02-21,3243 MANSFIELD ST,The Village of Polo Ridge,299711,249278,150,
S35.130,2026-02-21,3224 ROSWELL RD,The Village of Polo Ridge,329000,248718,150,
S3.33,2026-02-21,917 RAMOS DR,The Village Rio Grande,725000,249316,150,
S685.14,2026-02-21,1305 SANTA MARIA AVE,The Village Rio Grande,449500,249322,150,
S606.66,2026-02-21,1221 SANTA CRUZ DR,The Village Santiago,295000,249157,150,
S605.79,2026-02-21,2801 SALAMANCA ST,The Village Santiago,269000,248286,150,
S25.67,2026-02-21,1728 ENRIQUE DR,The Village Santo Domingo,699000,248876,150,
L12.3248,2026-02-21,527 BONITA DR,The Village of Silver Lake,315000,248886,150,
M46.44,2026-02-21,17609 SE 90TH CLEMSON CIR,The Village of Springdale,399500,248942,150,
M50.38,2026-02-21,9345 SE 171ST LE FLORE LN,The Village of Woodbury,335000,248059,150,
M227.33,2026-02-21,17145 SE 76TH BOXBURY CT,The Village of Calumet Grove,289900,247826,150,
S79.90,2026-02-21,546 FOXFIELD PATH,The Village of Belvedere,585000,248520,150,
S72.98,2026-02-21,1993 HARTFORD PATH,The Village of Bridgeport at Lake Miona,925000,247210,150,
S91.18,2026-02-21,1420 STRATON WAY,The Village of Sunset Pointe,555000,247584,150,
S97.57,2026-02-21,1442 GREENVILLE WAY,The Village of Liberty Park,380000,249111,150,
S661.21,2026-02-21,1398 CHESTERFIELD LN,The Village of Liberty Park,329900,249091,150,
S661.28,2026-02-21,1399 GEORGIANA TER,The Village of Liberty Park,524900,248681,150,
S106.76,2026-02-21,1433 FOREST ACRES DR,The Village of Virginia Trace,649000,248005,150,
S122.328,2026-02-21,707 CORDOVA CIR,The Village of Largo,382500,249107,150,
S146.347,2026-02-21,2600 ENGLISH IVY CIR,The Village of Duval,349985,249309,150,
S136.159,2026-02-21,770 GOLIATH PL,The Village of Bonita,389000,248356,150,
S171.60,2026-02-21,2252 CLEARWATER RUN,The Village of Bridgeport at Miona Shores,1395000,249043,150,
S148.41,2026-02-21,1612 DUTCHESS LOOP,The Village of St. Charles,495000,249171,150,
S160.110,2026-02-21,2287 NEWBURN LN,The Village of Tamarind Grove,499985,248531,150,
S170.68,2026-02-21,2596 BUTTONWOOD RUN,The Village of Buttonwood,324900,248453,150,
S170.270,2026-02-21,1963 HARDING PATH,The Village of Buttonwood,394500,247281,150,
S175.135,2026-02-21,664 ALWICK WAY,The Village of Sanibel,525000,248874,150,
S176.68,2026-02-21,2966 BRADDY CT,The Village of Sanibel,549000,248301,150,
S177.136,2026-02-21,923 VANILLA LEAF PL,The Village of Sanibel,519316,248662,150,
S215.8,2026-02-21,3361 BRASSIE TER,The Village of Fernandina,499900,248829,150,
S952.46,2026-02-21,1433 DYNASTY PL,The Village of Fernandina,278500,247586,150,
S952.66,2026-02-21,1479 OLYMPIA ST,The Village of Fernandina,319900,249245,150,
S216.57,2026-02-21,3446 ICHABOD WAY,The Village of Hillsborough,479000,248806,150,
S971.128,2026-02-21,646 AVECILLA DR,Haciendas of Mission Hills,847800,248824,150,
